row_id,file,line_number,entry_type,speaker_clean,speaker_raw,original_jp,vietnamese,tag_codes,scene_type,notes
16,EV_OP.ks,36,narration,Dẫn chuyện,,普段はあまり笑わない『よくわからない子』と周りに言われているようだが、[r]自分はそうは思わなかった。[p],"Mọi người xung quanh thường bảo cô bé là ""một đứa trẻ khó hiểu"" vì bình thường rất ít khi cười,[r]nhưng tôi thì không hề nghĩ vậy.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
17,EV_OP.ks,37,dialogue,日高 舜 (MC),[舜],[舜]「大袈裟だなぁ」[p],[舜]「Cậu làm quá lên rồi đấy.」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
18,EV_OP.ks,38,dialogue,月城 凪 (Nagi),凪,凪「[舜]ちゃん、おとなになっても私のそばにいてくれる？」[p],"Nagi「Shun-chan này, lớn lên rồi cậu vẫn sẽ mãi ở bên cạnh tớ nhé?」[p]","[舜], [p]",Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
19,EV_OP.ks,39,dialogue,日高 舜 (MC),[舜],[舜]「え～、大人になったら仕事もしなくちゃいけないし、結婚もするしなー」[p],"[舜]「Uầy~,lớn lên rồi thì phải đi làm nữa chứ, còn phải kết hôn nữa cơ.」[p]","[舜], [p]",Story_Opening,Có tag [p] chuyển trang
20,EV_OP.ks,40,dialogue,月城 凪 (Nagi),凪,凪「そっかぁ…じゃあ、結婚したらいいの？　[r]私、[舜]ちゃんと結婚する。[舜]ちゃんがそばにいたら、毎日楽しいから」[p],"Nagi「Vậy à... Thế thì kết hôn là được chứ gì? [r]Tớ sẽ kết hôn với Shun-chan. Vì có Shun-chan ở bên cạnh, ngày nào cũng vui cả.」[p]","[r], [舜], [舜], [p]",Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [r] xuống dòng | Có tag [p] chuyển trang"
21,EV_OP.ks,41,narration,Dẫn chuyện,,こんなに小さな女の子の言葉なんて、[r]明日には変わってるかもしれない。大人の自分ならわかる。[p],"Những lời nói của một cô bé nhỏ bé thế này,[r]biết đâu ngày mai sẽ thay đổi. Một người trưởng thành như tôi hiểu rõ điều đó.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
22,EV_OP.ks,42,narration,Dẫn chuyện,,でも……[p],Nhưng mà……[p],[p],Story_Opening,Có tag [p] chuyển trang
23,EV_OP.ks,49,narration,Nam chính (Nội tâm),,[舜]（あれ？　なんて答えたんだっけな……あの時──）[p],[舜]（Ủa? Lúc đó... mình đã trả lời thế nào nhỉ──）[p],"[舜], [p]",Story_Opening,"Shun (MC) độc thoại nội tâm: xưng tôi hoặc mình, toan tính mưu mô | Có tag [p] chuyển trang"
24,EV_OP.ks,50,narration,Dẫn chuyện,,徐々に覚醒していく。[p],Ý thức dần dần tỉnh táo lại.[p],[p],Story_Opening,Có tag [p] chuyển trang
25,EV_OP.ks,51,dialogue,少し離れた場所で,少し離れた場所で,少し離れた場所で「きゃー！」と子供たちの甲高い歓声と笑い声が響いた。[p],"Ở một nơi cách đó không xa, tiếng cười đùa và tiếng reo hò lanh lảnh ""Kyaa!"" của lũ trẻ vang lên.[p]",[p],Story_Opening,Có tag [p] chuyển trang
26,EV_OP.ks,59,dialogue,日高 舜 (MC),[舜],[舜]「うるせぇなぁ……」[p],[舜]「Ồn ào quá đi mất……」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
27,EV_OP.ks,60,narration,Dẫn chuyện,,ボンヤリした頭で体を起こす。夢と違い体が重い。[p],"Tôi gượng dậy với cái đầu vẫn còn lơ mơ. Khác với trong mơ, cơ thể tôi nặng trĩu.[p]",[p],Story_Opening,Có tag [p] chuyển trang
28,EV_OP.ks,61,dialogue,日高 舜 (MC),[舜],[舜]「今、何時だ…‥」[p],[舜]「Bây giờ là mấy giờ rồi...」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
29,EV_OP.ks,62,narration,Dẫn chuyện,,時計を見れば、１１時を回ったところだった。[r]世間様にとってはもうお昼前だ。[r]のそのそとベッドから体を起こしてカーテンを開ける。[p],Nhìn đồng hồ thì đã qua 11 giờ.[r]Với người đời thì đã là gần trưa rồi.[r]Tôi uể oải rời khỏi giường và kéo rèm cửa sổ ra.[p],"[r], [r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
30,EV_OP.ks,63,dialogue,日高 舜 (MC),[舜],[舜]「あぁ、眩し……」[p],"[舜]「A, chói quá……」[p]","[舜], [p]",Story_Opening,Có tag [p] chuyển trang
31,EV_OP.ks,64,narration,Dẫn chuyện,,思わず目を細めながら、[舜]はスマホを手に取る。[r]そういえば今日は休日か――なんて思うけど、もはや曜日の感覚なんてとうに壊れている。[p],"Bất giác nheo mắt lại, [舜] cầm lấy chiếc điện thoại.[r]Nhắc mới nhớ, hôm nay là ngày nghỉ nhỉ――tôi nghĩ thầm, nhưng cảm giác về các ngày trong tuần đã hỏng bét từ lâu rồi.[p]","[舜], [r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
32,EV_OP.ks,65,dialogue,日高 舜 (MC),[舜],[舜]「働かないって最高に効率的。社会コスパ最強だな」[p],[舜]「Không làm việc đúng là hiệu quả nhất. Hiệu suất xã hội vô địch luôn.」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
33,EV_OP.ks,66,narration,Dẫn chuyện,,独り言が自然と口をついて出る。[r]働かない。出かけない。誰にも会わない。[r]無駄を極限まで削ぎ落とした、いわばミニマリストな生活。[p],"Những lời lẩm bẩm tự nhiên thốt ra khỏi miệng.[r]Không làm việc. Không ra ngoài. Không gặp gỡ ai.[r]Lược bỏ mọi thứ vô ích đến mức tối đa, có thể gọi là lối sống tối giản.[p]","[r], [r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
34,EV_OP.ks,67,narration,Nam chính (Nội tâm),,[舜]（…腹減ったな。なんか食お）[p],[舜]（...Đói bụng rồi. Kiếm gì ăn thôi.）[p],"[舜], [p]",Story_Opening,"Shun (MC) độc thoại nội tâm: xưng tôi hoặc mình, toan tính mưu mô | Có tag [p] chuyển trang"
35,EV_OP.ks,68,narration,Dẫn chuyện,,ファミリー用に作られた団地の一部屋である我が家は、男1人暮らしには広すぎる。[r]当然だ。ついこの前まで両親も一緒に住んでいたのだから。[p],"Căn nhà của tôi, vốn là một căn hộ chung cư dành cho gia đình, quá rộng đối với một người đàn ông sống độc thân.[r]Đương nhiên rồi. Mới gần đây thôi, bố mẹ vẫn còn sống cùng tôi mà.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
36,EV_OP.ks,69,narration,Dẫn chuyện,,しかしいつまで経っても働かず部屋からも出ない俺に愛想を尽かし、この家を出て行った。[p],"Nhưng họ đã cạn kiệt sự kiên nhẫn với đứa con mãi không chịu đi làm, không chịu ra khỏi phòng là tôi, nên đã dọn ra khỏi nhà.[p]",[p],Story_Opening,Có tag [p] chuyển trang
37,EV_OP.ks,70,narration,Nam chính (Nội tâm),,[舜]（……子どもの面倒は最後まで見届けるのが“親”ってもんだろ。）[p],"[舜]（……Chăm sóc con cái đến cùng mới gọi là ""cha mẹ"" chứ.）[p]","[舜], [p]",Story_Opening,"Shun (MC) độc thoại nội tâm: xưng tôi hoặc mình, toan tính mưu mô | Có tag [p] chuyển trang"
38,EV_OP.ks,71,narration,Dẫn chuyện,,俺が引きこもりになったのは、最初からじゃない。[r]一応、形だけでも社会には出た。出てみた。で、砕けた。[p],"Không phải ngay từ đầu tôi đã trở thành kẻ hikikomori.[r]Tôi cũng từng bước ra xã hội, dù chỉ là hình thức. Bước ra thử. Rồi tan vỡ.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
39,EV_OP.ks,72,narration,Dẫn chuyện,,元々、人と話すのがとんでもなく苦手だった。[r]営業？　無理。雑談？　地獄。飲み会？　拷問じゃん。[p],"Vốn dĩ, tôi đã cực kỳ kém trong việc nói chuyện với người khác.[r]Làm sale ư? Không thể nào. Tán gẫu? Như địa ngục. Tiệc tùng? Chẳng khác gì tra tấn.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
40,EV_OP.ks,73,narration,Dẫn chuyện,,踏ん張るだけの根性もなかった。[r]ただ、それだけだ。[p],Tôi cũng chẳng có đủ can đảm để cố gắng trụ lại.[r]Chỉ đơn giản là vậy thôi.[p],"[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
41,EV_OP.ks,74,narration,Dẫn chuyện,,それ以来、この部屋で時間が止まっている。[p],"Kể từ đó, thời gian trong căn phòng này đã ngừng trôi.[p]",[p],Story_Opening,Có tag [p] chuyển trang
42,EV_OP.ks,75,narration,Dẫn chuyện,,窓を少し開けると、向かいの棟の様子が見えた。[p],"Hé mở cửa sổ một chút, tôi có thể nhìn thấy tình hình của tòa nhà đối diện.[p]",[p],Story_Opening,Có tag [p] chuyển trang
43,EV_OP.ks,76,dialogue,日高 舜 (MC),[舜],[舜]「……あぁ、社会の歯車、今日も元気に回ってんなぁ」[p],"[舜]「……A, bánh răng của xã hội, hôm nay cũng quay đều mạnh mẽ nhỉ.」[p]","[舜], [p]",Story_Opening,Có tag [p] chuyển trang
44,EV_OP.ks,77,narration,Dẫn chuyện,,彼女は普段通り靴を履き直すところだった。[r]靴をしっかり履くのは通路に出てから、というのが彼女の幼い頃からの癖だった。[p],Cô ấy đang mang lại giày như thường lệ.[r]Việc phải ra đến hành lang rồi mới xỏ giày đàng hoàng là thói quen từ nhỏ của cô ấy.[p],"[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
45,EV_OP.ks,78,narration,Dẫn chuyện,,彼女…凪は子供の頃からずっとこの団地を出て行くことなく大人になった。[r]数少ない俺の幼馴染と言ってもいい。[p],Cô ấy... Nagi đã trưởng thành mà chưa từng rời khỏi khu chung cư này từ lúc nhỏ.[r]Có thể nói là một trong số ít những người bạn thuở nhỏ của tôi.[p],"[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
46,EV_OP.ks,79,narration,Dẫn chuyện,,ここ十年以上は顔を合わせることはなかったが、こちらは彼女をよく知っている。[p],"Hơn mười năm nay chúng tôi không hề chạm mặt nhau, nhưng tôi lại biết rất rõ về cô ấy.[p]",[p],Story_Opening,Có tag [p] chuyển trang
47,EV_OP.ks,80,narration,Dẫn chuyện,,その理由は──[p],Lý do là vì──[p],[p],Story_Opening,Có tag [p] chuyển trang
48,EV_OP.ks,81,dialogue,日高 舜 (MC),[舜],[舜]「あれ？　でも今日って休みじゃなかった？」[p],[舜]「Ủa? Nhưng hôm nay chẳng phải là ngày nghỉ sao?」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
49,EV_OP.ks,82,narration,Dẫn chuyện,,バタバタと部屋に戻ると、カレンダーを覗き込む。[r]今日は日曜日。凪の勤務先は土日休みだから、今日は仕事はないはず…[p],"Tôi vội vàng quay lại phòng, ghé mắt nhìn vào tờ lịch.[r]Hôm nay là Chủ Nhật. Chỗ làm của Nagi nghỉ thứ Bảy và Chủ Nhật, nên hôm nay lẽ ra cô ấy không phải đi làm mới đúng...[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
50,EV_OP.ks,83,narration,Dẫn chuyện,,そう、俺はずっとずっと彼女…月城凪を見つめ続けている。[p],"Đúng vậy, tôi vẫn luôn, luôn dõi theo cô ấy... Tsukishiro Nagi.[p]",[p],Story_Opening,Có tag [p] chuyển trang
51,EV_OP.ks,84,narration,Dẫn chuyện,,この時間のない部屋の中で、彼女だけが俺と世間をつなぐ存在だった。[r]向こうは俺のことなんか覚えていないかもしれない。[p],"Trong căn phòng không có khái niệm thời gian này, cô ấy là sự tồn tại duy nhất kết nối tôi với thế giới bên ngoài.[r]Có lẽ cô ấy chẳng còn nhớ gì về tôi nữa.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
52,EV_OP.ks,85,dialogue,Dẫn chuyện,,でも幼い頃に言ったのだ。[r]「俺と結婚したい」と──[p],"Nhưng hồi nhỏ cô ấy đã từng nói.[r]Rằng ""muốn kết hôn với tôi""──[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
53,EV_OP.ks,86,narration,Dẫn chuyện,,その言葉を胸にしまい込んだまま、俺は大人になった。[p],"Cất giấu lời nói ấy trong tim, tôi đã trưởng thành.[p]",[p],Story_Opening,Có tag [p] chuyển trang
54,EV_OP.ks,87,narration,Dẫn chuyện,,彼女――凪は昔から、人と話すのが苦手だった。[r]だから、恋人を作るなんてまず無理だろうし、[r]結婚なんてきっと遠い夢のはずだと、勝手に思っていた。[p],"Cô ấy――Nagi từ ngày xưa đã không giỏi giao tiếp với người khác.[r]Thế nên, tôi đã tự cho rằng việc cô ấy có người yêu là điều không tưởng,[r]và kết hôn chắc chắn là một giấc mơ xa vời.[p]","[r], [r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
55,EV_OP.ks,88,narration,Dẫn chuyện,,もしそのときが来ても、相手が見つからなかったら――[r]そのときは俺が優しく声をかけてやればいい。[p],"Dù cho thời điểm đó có đến, nếu cô ấy không tìm được đối tượng――[r]Lúc đó tôi chỉ cần nhẹ nhàng ngỏ lời là được.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
56,EV_OP.ks,89,dialogue,Dẫn chuyện,,「約束通り、結婚してあげてもいいぞ」と。[p],"Rằng ""Đúng như lời hứa, anh có thể kết hôn với em"".[p]",[p],Story_Opening,Có tag [p] chuyển trang
57,EV_OP.ks,90,narration,Dẫn chuyện,,しかし、その瞬間だった。[p],"Thế nhưng, ngay khoảnh khắc đó.[p]",[p],Story_Opening,Có tag [p] chuyển trang
58,EV_OP.ks,96,narration,Dẫn chuyện,,凪のあとを追うように、ドアが開く。[r]そして、見知らぬ長身の男が、部屋の中から出てきた。[p],"Cánh cửa mở ra, như thể nối gót theo Nagi.[r]Và rồi, một người đàn ông cao lớn lạ mặt bước ra từ trong phòng.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
59,EV_OP.ks,97,narration,Nam chính (Nội tâm),,[舜]（は？　誰だアイツ）[p],[舜]（Hả? Tên đó là ai vậy?）[p],"[舜], [p]",Story_Opening,"Shun (MC) độc thoại nội tâm: xưng tôi hoặc mình, toan tính mưu mô | Có tag [p] chuyển trang"
60,EV_OP.ks,98,narration,Dẫn chuyện,,見たことない男だった。[r]しかし凪は振り返り、男に向かって照れくさそうに微笑んでいる。[p],"Đó là một người đàn ông tôi chưa từng gặp mặt.[r]Thế nhưng Nagi lại quay đầu lại, mỉm cười đầy e thẹn với hắn.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
61,EV_OP.ks,114,dialogue,月城 凪 (Nagi),凪,凪「玄関、狭くてごめんね？」[p],"Nagi「Sảnh vào hơi hẹp, xin lỗi anh nhé?」[p]",[p],Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
62,EV_OP.ks,115,dialogue,Người lạ (???),？？？,？？？「ううん、団地っていうのかな…こんな感じのトコ昔住んでたから。[r]一緒に暮らす時は新しいマンションにしような」[p],"？？？「Không sao đâu, đây gọi là khu chung cư nhỉ... Ngày xưa anh cũng từng sống ở một nơi giống thế này.[r]Khi nào sống chung, mình hãy dọn đến một căn hộ mới nhé.」[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
63,EV_OP.ks,117,dialogue,月城 凪 (Nagi),凪,凪「う、うん…あ、でもお母さんが退院したら1人に──」[p],"Nagi「Ư-ừm... A, nhưng mà mẹ em xuất viện thì chỉ có một mình──」[p]",[p],Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
64,EV_OP.ks,118,dialogue,Người lạ (???),？？？,？？？「もちろん凪のお母さんも一緒に引っ越せばいいんだって。いつかは家族になるんだし」[p],？？？「Tất nhiên là mẹ của Nagi cũng có thể chuyển đến sống cùng mà. Dù sao thì rồi chúng ta cũng sẽ trở thành người một nhà thôi.」[p],[p],Story_Opening,Có tag [p] chuyển trang
65,EV_OP.ks,119,dialogue,Người lạ (???),？？？,？？？「焦らせるつもりはないよ。でも俺は、秋頃には結婚式を挙げられたらって思ってる。凪も早くお母さんを安心させたいだろ？」[p],"？？？「Anh không định hối thúc em đâu. Nhưng anh đang nghĩ, giá mà chúng mình có thể tổ chức đám cưới vào khoảng mùa thu này. Nagi cũng muốn nhanh chóng làm cho mẹ yên tâm đúng không?」[p]",[p],Story_Opening,Có tag [p] chuyển trang
66,EV_OP.ks,120,dialogue,Người lạ (???),？？？,？？？「俺はその未来を本気で考えてるってことだけは覚えておいて。」[p],？？？「Em chỉ cần nhớ rằng anh đang suy nghĩ rất nghiêm túc về tương lai đó của chúng ta.」[p],[p],Story_Opening,Có tag [p] chuyển trang
67,EV_OP.ks,122,dialogue,月城 凪 (Nagi),凪,凪「うん、ありがとう…」[p],"Nagi「Vâng, cảm ơn anh...」[p]",[p],Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
68,EV_OP.ks,123,dialogue,月城 凪 (Nagi),#凪,[舜]（秋に結婚式…？　本気で結婚するつもりなのか…あの男と）[p],[舜]（Đám cưới vào mùa thu ư...? Cô ấy thực sự định kết hôn sao... với tên đàn ông đó.）[p],"[舜], [p]",Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
69,EV_OP.ks,129,dialogue,月城 凪 (Nagi),#凪,眩暈がする。[p],Đầu óc tôi quay cuồng.[p],[p],Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
70,EV_OP.ks,130,dialogue,月城 凪 (Nagi),#凪,言葉の意味は理解できるのに、[r]なぜその言葉が交わされているのかがわからない。[p],"Tôi có thể hiểu được ý nghĩa của những lời nói đó,[r]nhưng lại không hiểu tại sao chúng lại được trao đổi với nhau.[p]","[r], [p]",Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [r] xuống dòng | Có tag [p] chuyển trang"
71,EV_OP.ks,131,dialogue,月城 凪 (Nagi),#凪,[舜]（別の男と付き合ってるのか？　[r]俺と結婚したいと言っていた、あの小さくて可愛い凪が）[p],"[舜]（Cô ấy đang hẹn hò với người đàn ông khác sao?[r]Nagi nhỏ bé và đáng yêu, người từng nói muốn kết hôn với tôi ấy ư?）[p]","[舜], [r], [p]",Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [r] xuống dòng | Có tag [p] chuyển trang"
72,EV_OP.ks,132,dialogue,月城 凪 (Nagi),#凪,わかっている、もうあれから１５年以上経っていることも。[r]成長と同時に気持ちは変わっていることも。けれど──[p],"Tôi biết chứ, rằng đã hơn 15 năm trôi qua kể từ ngày đó.[r]Rằng cùng với sự trưởng thành, tình cảm cũng đã thay đổi. Thế nhưng──[p]","[r], [p]",Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [r] xuống dòng | Có tag [p] chuyển trang"
73,EV_OP.ks,133,dialogue,ただただ,ただただ,ただただ「裏切られた」という気持ちだけが胸の奥に広がっていく。[r]見せつけるように２人が体を寄せあっていることにも腹が立った。[p],"Cảm giác ""bị phản bội"" cứ thế lan rộng trong sâu thẳm trái tim tôi.[r]Việc hai người họ nép sát vào nhau như thể muốn khoe khoang cũng khiến tôi tức điên lên.[p]","[r], [p]",Story_Opening,Có tag [r] xuống dòng | Có tag [p] chuyển trang
74,EV_OP.ks,139,dialogue,日高 舜 (MC),[舜],[舜]「っざけんな…ふざけんなよ！」[p],[舜]「Đừng có đùa... Đừng có đùa tao!」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
75,EV_OP.ks,140,dialogue,月城 凪 (Nagi),#凪,ドンっと床を踏み鳴らす。[r]階下は耳の遠い爺さんと婆さんだから文句も言ってこないだろう。[p],Tôi giậm chân mạnh xuống sàn nhà.[r]Tầng dưới là một ông lão và bà lão lãng tai nên chắc họ cũng sẽ không phàn nàn gì đâu.[p],"[r], [p]",Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [r] xuống dòng | Có tag [p] chuyển trang"
76,EV_OP.ks,141,dialogue,月城 凪 (Nagi),#凪,いや、無職の若い男が住んでいると知ってるから[r]「面倒事は厄介だ」と知らぬふりをするかもしれない。[p],"Không, vì họ biết có một gã thanh niên thất nghiệp đang sống ở đây[r]nên có lẽ họ sẽ làm ngơ với suy nghĩ ""Rước họa vào thân thì phiền lắm"".[p]","[r], [p]",Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [r] xuống dòng | Có tag [p] chuyển trang"
77,EV_OP.ks,142,dialogue,日高 舜 (MC),[舜],[舜]「ムカつくんだよ！　どいつもこいつも！」[p],[舜]「Tức chết đi được! Cả đám chúng mày!」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
78,EV_OP.ks,143,dialogue,月城 凪 (Nagi),#凪,もう1度、ドンドンと地団太を踏んだ。埃が舞い上がり、余計に嫌な気持ちになる。[p],"Tôi lại giậm chân ầm ầm xuống sàn một lần nữa. Bụi bay mù mịt, càng làm tôi thêm khó chịu.[p]",[p],Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [p] chuyển trang"
79,EV_OP.ks,144,dialogue,日高 舜 (MC),[舜],[舜]「俺をこんな気持ちにさせた報いを受けさせなきゃ」[p],[舜]「Phải bắt chúng trả giá vì đã khiến tao có cảm giác này.」[p],"[舜], [p]",Story_Opening,Có tag [p] chuyển trang
80,EV_OP.ks,145,dialogue,月城 凪 (Nagi),#凪,最初はふとこぼれた思いが、ムクムクと膨らんでいく。[r]そうだ。俺を選ばなかったことを後悔させればいい。いや──[p],"Ý nghĩ ban đầu chỉ vô tình thốt ra, giờ đây đang dần phình to lên.[r]Đúng rồi. Chỉ cần khiến cô ta hối hận vì đã không chọn tôi là được. Không──[p]","[r], [p]",Story_Opening,"Nagi nói chuyện: dịu dàng, xưng tớ - Shun-chan (hoặc em - anh) | Có tag [r] xuống dòng | Có tag [p] chuyển trang"
